Títol,Ciutat,Barri,Descripció breu,m2,Habitacions,Lavabos,Preu m2,Preu
Alquiler Piso  Pseo sant magí. Piso eco-friendly en centro sant cugat,Sant Cugat del Vallès,Centre - Estació,"¿Te gustaría vivir en una vivienda respetuosa con el medio ambiente y eficiente, con ahorros energéticos cercanos al 80%...",75,2,2,20,1.540
Alquiler Piso  Carrer tres creus. Zona centro sabadell  tres creus,Sabadell,Covadonga,"En el Centro / Fira / Universitat Autónoma, en un edificio reciente con ascensor, encontramos este piso en muy buen esta...",66,2,1,11,790
Alquiler Piso  Carrer major. Piso con terraza y parking,Sabadell,Creu Alta,"FINCAS  ATI alquila piso e la Creu alta, de 79 m², 2 dormitorios, cocina independiente, lavadero, amplio comedor con sal...",79,2,2,11,890
Alquiler Piso  Pseo sant magí. Piso eco-friendly en centro sant cugat,Sant Cugat del Vallès,Centre - Estació,"¿Te gustaría vivir en una vivienda respetuosa con el medio ambiente y eficiente, con ahorros energéticos cercanos al 80%...",68,2,2,21,1.430
Alquiler Casa  en  Valldoreix,Sant Cugat del Vallès,Valldoreix,Elegante Chalet de diseño en Sant Cugat del Valles próximo a la Masía Rosás y a pocos minutos del centro. En una de las...,830,6,7,10,9.000
"Alquiler Piso  en  Carrer caresmar, 122. Piso 2 hab, terraza, pk trastero",Sabadell,Can FeuVer mapa,"Piso exterior y muy luminoso con amplia terraza de 25 m2. Distribución: 1 habitación doble con armario empotrado, 1 hab...",70,2,1,11,825
Alquiler Loft  Carrer zurbano. Loft a pocos metros  de rambla,Sabadell,Centre,"FINQUES ATI alquila loft en calle Zurbano, a pocos metros de Rambla, 47 m2 construidos, cocina abierta y equipada, 1 bañ...",47,1,11,,530
Alquiler Piso  25. Piso con vistas,Rubí,Progrés,"Vivienda en la zona del 25 con vistas. El piso tiene unos 78m2 , distribuidos en 3 habitaciones, una doble y dos individ...",78,3,1,9,725
Alquiler Piso  Carrer pastora martos,Sant Cugat del Vallès,Volpelleres,"Piso Nuevo a Estrenar de 90 m2, con 3 Dormitorios, 2 Baños, Cocina, Comedor Salón, Calefacción, Aire Acondicionado, Parq...",90,3,2,15,1.400
Alquiler Piso  Carrer covadonga. A 1min andandode renfe y 6m fgc,Sabadell,Covadonga,"Piso en alquiler en la zona de Covadonga, consta de 73 m², de los cuales 56, 7 m² son útiles. Dispone de 3 habitaciones,...",73,3,1,10,745
Alquiler Piso  en  C/ sant quirze nº 6. Piso en alquiler en matadepera,Matadepera,,"PLANTA BAJA CON JARDÍN PRIVADO EN EL CENTRO DE MATADEPERA  La vivienda consta de tres dormitorios, dos baños complet...",120,3,2,10,1.250
Alquiler Dúplex  en  Creu Alta. Dúplex obra nueva en la creu alta,Sabadell,Creu Alta,"Moderno dúplex invertido de obra nueva en el centro de Sabadell, situado a 200 m de los FFCC, cerca de centros comercial...",130,4,3,11,1.500
Alquiler Piso  C/ gutemberg. Casa en venta en centre,Terrassa,Ca n´Aurell,"AMIDA IMMOBLES comercializa esta magnifica vivienda independiente en el CENTRO DE TERRASSA con mucha luz natural, totalm...",160,4,1,7,1.200
Alquiler Casa  Rossinyol. Casa adosada en alquiler,Sant Cugat del Vallès,Valldoreix,"Casa adosada en la Zona Rossinyol, Valldoreix, dentro de una exclusiva urbanización compuesta de cinco casas, con zona c...",550,6,5,10,5.900
Alquiler Piso  en  Arxiu-Estació. Espectacular casa adosada a 50 metros de la estación de sant cug,Sant Cugat del Vallès,Arxiu-Estació,"Espectacular casa adosada, totalmente reformada, de diseño. En esta casa de diseño, a estrenar, se entra por un gran re...",250,4,3,11,2.900
Alquiler Casa pareada  en  Creu de Barbera. Depósito de 8000 euros,Sabadell,Creu de Barbera,DEPOSITO DE 8000 EUROS FINCOR alquila CASA en planta baja con PATIO y TERRAZA por 775 euros al mes.  Para alquilar la...,83,3,1,9,775
Alquiler Piso  en  Can Rull. Piso en alquiler en can rull,Sabadell,Can Rull,"R24 INMOBILIARIA ALQUILA!! PISO en Sabadell de 84mts. 2da planta sin ascensor. 2 habitaciones, 1 baño con ducha de 1,80,...",84,2,1,9,800
Alquiler Piso  Teixidora,Santa Perpètua de Mogoda,,"VIVIENDA EN SANTA PERPETUA CON GRANDES CALIDADES  Vivienda de Protección Oficial (VPO) de 58m², planta baja real, edif...",58,2,1,10,633
Alquiler Casa adosada  en  Centre - Estació. Acogedora casa en pleno centro de sant cugat,Sant Cugat del Vallès,Centre - Estació,"Acogedora casa de 140m² en Sant Cugat del Vallés, en pleno centro con grandes comercios y colegios como el Santa Isabel...",114,3,3,14,1.700
Alquiler Casa  Carrer mare de deu dels dolors. Casa en alquiler,Cerdanyola del Vallès,Montflorit,"PLANTA BAJA a 4 vientos en Montflorit, zona residencial. (SE ALQUILA PLANTA CON JARDÍN CON ENTRADA INDEPENDIENTE). A 15m...",200,3,2,6,1.200
Alquiler Planta baja  Centro. Planta baja con patio - centro!,Matadepera,,"Magnífica planta baja de estilo colonial,  y  situada en el casco urbano en una zona tranquila y compuesta de amplio hal...",200,2,8,,1.600
Alquiler Ático  en  Torreblanca. Fantástico piso en torreblanca,Sant Cugat del Vallès,Torreblanca,"Magnífico piso de tres habitaciones, dos baños, uno de ellos en la habitación suitte, lavadero, gran terraza con inmejor...",85,3,2,18,1.600
Alquiler Piso  en  Centre. Seminuevo con balcón,Terrassa,Centre,"Inmueble seminuevo de 65m construidos a tocar la Rambla y Plaça del Progrés, cerca de accesos a la ciudad y transporte p...",65,2,1,11,760
Alquiler Piso  Carrer sant valenti. Vivienda con plaza de pk,Terrassa,Centre,"SE ALQUILA PISO EN EL CENTRO, CALLE SANT VALENTIN, PISO DE 77M2, TRES HABITACIONES, 2 DOBLES, COMEDOR DE 22M2 CON SALIDA...",77,3,1,12,990
"Alquiler Piso  Carrer saragossa. Piso amueblado, piscina y pk",Terrassa,Torre-sana,"Vallfinques comercializa el alquiler de vivienda, de construccion del año 2003, ubicada en Terrassa, en el barrio de Mon...",70,2,2,10,745
Alquiler Chalet  Carrer rossello. Casa en alquiler con local,Montcada i Reixac,Centre-La Ribera,"Casa en alquiler de 374mt construidos, ideal para empresas y negocios, distribuidos en 2 plantas:  - Planta baja: loca...",374,4,2,6,2.500
"Alquiler Piso  en  Poblenou-Zona Esportiva. Piso de obra nueva de tres habitaciones con piscina, zona infant",Terrassa,Poblenou-Zona Esportiva,"Precioso piso de obra nueva en una de las mejores zonas de Terrassa, ideal para familias.  Se encuentra en una finca con...",82,3,2,12,1.000
Alquiler Piso  Carrer aneto. Disponible 1 de mayo!,Terrassa,Les Arenes-La Grípia,"Piso de Alquiler en Terrassa! El piso tiene 90 metros y dispone de 4 habitaciones, comedor-salón con cocina americana, 2...",90,4,2,9,850
"Alquiler Piso  en  Centre-Cordelles. Piso con 4 habitaciones, amueblado, ascensor y parking",Cerdanyola del Vallès,Centre-Cordelles,"Amplio piso totalmente amueblado de 100 m2 todo exterior situado en zona Ateneo, cerca de todos los servicios y a 8 minu...",100,4,2,10,1.000
Alquiler Piso  Carrer antoni torrella. Soleado,Terrassa,Ca n´Aurell,"Piso de alquiler en Can Aurell, de 4 habitaciones, comedor, cocina, baño con bañera, balcón pequeño, lavadero, suelo de...",120,4,1,5,700
"Alquiler Loft  en  Carrer turull, 37. Loft edificio centro ciudad",Sabadell,Centre,"Inmueble con acabados de alta calidad, ubicados en el centro de la ciudad, en una finca singular, una antigua fábrica  t...",120,2,2,10,1.200
Alquiler Casa  Cerca avenida más fuster. Casa cerca e ac. más fuster,Sant Cugat del Vallès,Valldoreix,"ALQUILER TEMPORAL. Casa/ 2 habitaciones dobles, comedor-cocina en un solo ambiente, baño con ducha. Jardín privado y ent...",53,2,1,30,1.600
"Alquiler Piso  en  Coll Favà. Magnã­fico piso en coll favá de 3 hab. dobles, 2 baños, zona com",Sant Cugat del Vallès,Coll Favà,"Desde el Grupo inmobiliario Best House de Sant Cugat te presentamos este fantástico piso con Zona comunitaria, y Parking...",108,3,2,12,1.380
Alquiler Casa  en  Matadepera. Fantástica casa en alquiler en centro pueblo de matadepera,Matadepera,,"Casa adosada, con garaje para dos vehículos, planta baja con sala polivalente con baño y acceso a un amplio y soleado pa...",263,3,4,7,2.000
Alquiler Casa  en  Valldoreix. Bonita casa en valldoreix,Sant Cugat del Vallès,Valldoreix,"Preciosa Torre en San Cugat , totalmente amueblada, con muchÃ­simo estilo .La distribución es muy cómoda pensada para un...",400,5,6,12,4.800
Alquiler Piso  Eixample muy cerca de c/lepant. Eixample muy cerca de c/lepant,Sabadell,Gràcia,"Código: 258868  Eixample-Sant Oleguer. Piso todo actualizado, exterior y muy luminoso 3 habitaciones, cocina reformada,...",80,3,2,10,800
Alquiler Piso  en  Centre-La Ribera. Piso con 3 habitaciones,Montcada i Reixac,Centre-La Ribera,"Piso de 47 m2 reformado situado en zona céntrica, cerca de servicios, estación Renfe y con fácil acceso a las principale...",47,3,1,14,700
Alquiler Piso  en  Centre. Piso en el centro con trastero,Terrassa,Centre,PRECIOSO PISO SEMI-NUEVO CON TERRAZA EN EL CENTRO DE LA CIUDAD. Se trata de un magnífico piso de 71m² construídos. Está...,71,3,1,11,845
Alquiler Piso  en  Sant Llorenç. Piso con amplia terraza en alquiler en sant llorenç - terrassa,Terrassa,Sant Llorenç,"Primera planta de obra nueva en alquiler situada en el barrio de Sant Llorenç, en el distrito 6 del municipio de Terrass...",64,2,1,12,790
"Alquiler Piso  en  Carrer goethe, 0. Can rull - ref 10103",Sabadell,Can RullVer mapa,"Piso totalmente reformado de  84 m²,  2 hab dobles,  baño con plato de ducha, amplio salón de 25 m. salida terraza de 11...",84,2,1,9,800
Alquiler Piso  Passeig cordelles. Alquiler paseo cordelles,Cerdanyola del Vallès,Centre-Cordelles,"Piso de alquiler totalmente exterior, consta de 4 habitaciones ( 1doble con salida al balcón y 3 individuales) , cocina...",96,4,1,9,918
"Alquiler Planta baja  en  El Coll. Planta baja con 2 habitaciones, ascensor y parking",Sant Cugat del Vallès,El Coll,"PLANTA BAJA SEMINUEVA EN ZONA MONESTIR-AVENIDA CERDANYOLA. Piso de 65 m2 construidos,  con 2 habitaciones (1 doble con...",67,2,1,16,1.100
Alquiler Piso  en  La Cogullada. Piso con ascensor y parking,Terrassa,La Cogullada,"PROMOCIÓN DE ABRIL: 1 MES GRATIS si reservas antes del 30 de abril.  Piso de 53,00 m² construidos y 40,45 m2 útiles ap...",74,1,1,8,640
"Alquiler Ático  en  Torreblanca. Ático con 2 habitaciones, ascensor, parking y piscina comunitari",Sant Cugat del Vallès,Torreblanca,FANTÁSTICO PISO ATICO ESQUINERO RECIEN REFORMADO EN ALQUILER -ZONA COLEGIO EUROPA. Piso de 70 m2 útiles donde están per...,80,2,1,17,1.400
Alquiler Dúplex  Carrer rec. Duplex centro sentmenat,Sentmenat,,"DUPLEX EN EDIFICIO FAMILIAR CON SOLO 2 VECINOS. 3 HABITACIONES Y 2 BAÑOS. CENTRO POBLACIÓN EN ZONA COMERCIAL (Panadería,...",85,3,2,9,780
"Alquiler Piso  en  Can Roses. Piso con 2 habitaciones, amueblado y parking",Rubí,Can Roses,RUBI: Piso de alquiler de 2 habitaciones seminuevo. Sup. 60m2. Cocina independiente. Situado en zona Can Roses. Edificio...,60,2,1,11,700
Alquiler Estudio  Carrer de sant joan. Coqueto estudio en alquiler.,Matadepera,,Estudio pequeño y coqueto situado en Matadepera ( Vallés Occidental ) ideal para parejas sin hijos o para vivir una pers...,33,1,1,19,650
"Alquiler Piso  en  Ronda zamenhof, 119. Acabado de reformar",Sabadell,Centre,"PISO DE 3 HABITACIONES ENTRE CREU ALTA Y CENTRO. LA VIVIENDA SE ACABA DE REFORMAR, DISPODE DE 3 HAB, AIRE F/C EN LAS ES...",85,3,1,10,880
Alquiler Piso  en  Centre-Cordelles. Piso con 4 habitaciones y ascensor,Cerdanyola del Vallès,Centre-Cordelles,Fantástico piso de 112 m2 con gran terraza situado en el centro de Cerdanyola y rodeado de servicios. La vivienda toda e...,112,4,2,8,950
Alquiler Chalet  en  Valldoreix,Sant Cugat del Vallès,Valldoreix,ENCANTADOR CHALET A CUATRO VIENTOS EN VALLDOREIX  Esta casa sencillamente enamora. Tiene una calidez en el ambiente in...,350,5,6,13,4.800
"Alquiler Piso  en  Centre. Â¡magnãfico piso exterior 4 habs + pkg + trastero,  en plena ra",Sabadell,Centre,"Â¡MAGNÃFICO PISO EXTERIOR 4 HABS + PKG + TRASTERO,  EN PLENA RAMBLA!  EXES SABADELL CENTRE ofrece este piso magnÃ­fic...",111,4,2,11,1.280
Alquiler Piso  en  Creu Alta. Â¡piso de 3 habs + pk en la zona de la creu alta!,Sabadell,Creu Alta,Â¡PISO DE 3 HABS + PK EN LA ZONA DE LA CREU ALTA!  EXES SABADELL CENTRE ofrece este piso de 74mÂ² con plaza de parking...,74,3,1,11,850
Alquiler Planta baja  en  Centre-La Ribera. Piso exclusivo estudiantes,Montcada i Reixac,Centre-La Ribera,"PISO EXCLUSIVO ESTUDIANTES Piso de 41 m2 exterior para ESTUDIANTES, situado en zona tranquila cerca de servicios y al l...",41,2,1,12,511
"Alquiler Piso  en  Carrer alaba, 59. Piscina, gim, 2 parking, mueblado diseño feng shui",Terrassa,Torre-sanaVer mapa,"Piscina, gimnasio, 2 parking, mueblado diseño y feng shui:  Bien orientado al sur, muy soleado y silencioso, totalmente...",72,3,2,15,1.100
Alquiler Piso  en  Poblenou-Zona Esportiva. Solvia inmobiliaria - piso terrassa,Terrassa,Poblenou-Zona EsportivaVer mapa,"PROMOCIÓN: 1 MES DE ALQUILER GRATIS si reservas antes del 30 de abril. Y además, Â¡sin comisiones de agencia!Pisos desde...",46,1,1,14,670
Alquiler Piso  en  Poblenou-Zona Esportiva. Solvia inmobiliaria - piso terrassa,Terrassa,Poblenou-Zona EsportivaVer mapa,"PROMOCIÓN: 1 MES DE ALQUILER GRATIS si reservas antes del 30 de abril. Y además, Â¡sin comisiones de agencia!Pisos desde...",46,1,1,15,690
Alquiler Dúplex  Centro. Duplex con balcon y terraza,Rubí,Mercat,"Bonito Dúplex de 4 habitaciones (2 dobles y 2 individuales) y 1 habitación de estudio,  con balcones y terraza de 20m2,...",120,5,2,10,1.250
Alquiler Piso  en  Centre. En el corazón del centro de sabadell,Sabadell,Centre,Nova Finques comercializa en alquiler piso todo exterior en pleno centro de Sabadell.    Amplio y luminoso piso de 102...,120,3,2,8,975
Alquiler Piso  en  Poblenou-Zona Esportiva. Solvia inmobiliaria - piso terrassa,Terrassa,Poblenou-Zona EsportivaVer mapa,"PROMOCIÓN: 1 MES DE ALQUILER GRATIS si reservas antes del 30 de abril. Y además, Â¡sin comisiones de agencia!Pisos desde...",54,2,1,13,750
Alquiler Piso  en  Vallparadís. Piso con vista al parque de vallparadis,Terrassa,Vallparadís,Classic Gestio les presenta este fantástico al lado de la Mutua de Terrassa con vista al parque de Vallparadis.  Tiene...,130,5,2,8,1.100
Alquiler Piso  Unio,Terrassa,Centre,"Piso de Cuatro habitaciones dos dobles, baño con plato de ducha, aseo, comedor estar cantonero muy soleado,  cocina equi...",110,4,2,9,1.000
Alquiler Ático  Carrer roda de ter,Sant Cugat del Vallès,Colomer,"Atico de 80 m2, con terraza de 30 m2, con 3 Dormitorios, 2 Baños, Cocina Americana, Aire Acondicionado, Parquing 2 Coche...",80,3,2,17,1.400
"Alquiler Piso  en  Centre-Cordelles. Piso con 2 habitaciones, ascensor y parking",Cerdanyola del Vallès,Centre-Cordelles,Fantástico piso de 64 m2 obra nueva a estrenar situado en zona rodeado de servicios y a 5 minutos andando de Renfe. La v...,64,2,1,13,875
"Alquiler Piso  Carrer mare de deu dels angels. Con terraza, acogedor.",Terrassa,Centre,"Con TERRAZA, acogedor.  En el centro de Terrassa. A cinco minutos de ´la Rambla´ y muy cerca del mercado. Buena comuni...",76,3,1,9,700
Alquiler Piso  en  Pont Vell. Piso con 3 habitaciones y ascensor,Ripollet,Pont Vell,"Piso de 62 m2 todo exterior situado en zona estación, cerca de servicios, bus y con fácil acceso a las principales autop...",62,3,1,11,730
Alquiler Dúplex  Avinguda paisos catalans,Sant Quirze del Vallès,Mas Duran,"Duplex de 180m² en Mas Duran totalmente exterior. Distribuidor recibidor, Salón comedor de 40m² con terraza, cocina off...",180,4,2,8,1.600
Alquiler Casa  en  Centre. Semi nova,Sabadell,Centre,"CASA 129m2 + 31m2 PATI. Seminova. Pta. Baixa: Entrada. Pta 1ª: Menjador amb sortida a pati, cuina independent exterior,...",129,4,3,8,1.100
Alquiler Piso  en  Sant Llorenç. Piso en alquiler en sant llorenç - terrassa,Terrassa,Sant Llorenç,"Cuarta planta de obra nueva en alquiler situada en el barrio de Sant Llorenç, en el distrito 6 del municipio de Terrassa...",71,2,1,10,730
Alquiler Piso  en  Sant Llorenç. Piso en alquiler en sant llorenç - terrassa,Terrassa,Sant Llorenç,"Cuarta planta de obra nueva en alquiler situada en el barrio de Sant Llorenç, en el distrito 6 del municipio de Terrassa...",64,2,1,11,730
Alquiler Piso  en  Sant Llorenç. Piso en alquiler en sant llorenç - terrassa,Terrassa,Sant Llorenç,"Tercera planta de obra nueva en alquiler situada en el barrio de Sant Llorenç, en el distrito 6 del municipio de Terrass...",64,2,1,11,710
Alquiler Piso  en  Mira-sol. Piso en alquiler en mira-sol,Sant Cugat del Vallès,Mira-sol,"Planta baja de 121 m²,  útil 98 m², 4 habitaciones (3 dobles), 2 baños, aire acondicionado centralizado (frío y calor),...",121,4,2,16,2.000
Alquiler Ático  en  Volpelleres. Atico en alquiler en can mates-volpelleres,Sant Cugat del Vallès,Volpelleres,"Piso en última planta de 94 m² construídos, útiles 81 m², dispone de 3 habitaciones (2 dobles (1 suite) + 1 habitación i...",94,3,2,17,1.650
"Alquiler Piso  en  Creu Alta. Ammueblado y electrodomesticos,  muy tranquilo al lado del corte",Sabadell,Creu Alta,"AMMUEBLADO Y ELECTRODOMESTICOS,  MUY TRANQUILO AL LADO DEL CORTE INGLES  Piso AMMUEBLADO + ELECTRODOMÉSTICOS, de 3 Hab...",93,3,1,8,795
Alquiler Piso  Carrer egara. Piso de 3 habitacions amueblado,Terrassa,Sant Pere,"Acogedor piso de 3 habitaciones (2 dobles y 1 individual),  Amplio comedor con salida a pequeño balcón. Dispone de lavad...",101,3,1,7,800
Alquiler Piso  en  Eixample-Sant Oleguer. Excelente piso de 3 hb amueblado,Sabadell,Eixample-Sant Oleguer,IMMOHABITAT comercializa este increible piso a dos pasos del centro.    A escasos 100m encontramos la parada de autobu...,114,3,2,8,940
Alquiler Piso  en  Poblenou-Zona Esportiva. Solvia inmobiliaria - piso terrassa,Terrassa,Poblenou-Zona EsportivaVer mapa,"PROMOCIÓN: 1 MES DE ALQUILER GRATIS si reservas antes del 30 de abril. Y además, Â¡sin comisiones de agencia!Pisos desde...",54,2,1,14,785
Alquiler Piso  en  Merinals. Â¡piso de obra nueva a estrenar  en can cambús!,Sabadell,Merinals,Â¡PISO DE OBRA NUEVA A ESTRENAR  EN CAN CAMBÚS!  EXES SABADELL CENTRE ofrece este piso de Obra Nueva a estrenar de la...,75,2,1,13,990
Alquiler Piso  en  Creu Alta. Piso en alquiler en ca n'oriac,Sabadell,Creu AltaVer mapa,"Piso al semi-centro de la villa de 156m² aprox. , segundo con ascensor, amplio salón con chimenea y mucho de sol, amplía...",156,4,2,7,1.180
Alquiler Estudio  en  Centre-Cordelles. Habitación doble zona cordelles,Cerdanyola del Vallès,Centre-Cordelles,"HABITACIÓN DOBLE con cama de matrimonio, mesa de escritorio y televisión. Cocina y lavabo a compartir. Los gastos de sum...",15,1,33,,500
Alquiler Casa  en  Palau-solità i Plegamans. Casa de 2ª mano en alquiler,Palau-solità i Plegamans,,"Superf. 167 m², 484 m² solar,  4 habitaciones (3 dobles,  1 individual),  2 baños, cocina (10m²), lavadero (4m²), comedo...",167,4,2,7,1.300
Alquiler Dúplex  Centre. Duplex con amplia terraza !,Matadepera,,Fantástico dúplex de 110 m2 construidos compuesto de la siguiente manera: En la planta baja tenemos un amplio recibidor...,110,3,2,9,1.050
Alquiler Piso  en  Sant Llorenç. Piso en alquiler en sant llorenç - terrassa,Terrassa,Sant Llorenç,"Cuarta planta de obra nueva en alquiler situada en el barrio de Sant Llorenç, en el distrito 6 del municipio de Terrassa...",62,2,1,11,700
Alquiler Planta baja  en  Can Rull. Planta baja a estrenar,Sabadell,Can Rull,"Planta Baja de 3 hab (  1 doble) cocina americana , comedor, Baño con ducha , suelos de gres tipo parquet , climatizació...",90,3,1,9,850
Alquiler Piso  en  Progrés. Piso de 104 m2 construidos en zona céntrica de rub,Rubí,Progrés,"Fantástico piso situado en zona céntrica con todo tipo de servicios, cerca de parques, colegios y transporte público. El...",104,3,2,9,950
Alquiler Piso  en  Sant Pere. Piso en alquiler en antic poble de sant pere,Terrassa,Sant Pere,"Habitat Gestió 18 comercializa piso semi nuevo de 40m2, situado en el barrio e Sant Pere. La vivienda dispone de 40m2...",40,1,1,16,650
Alquiler Casa  en  Bellaterra. Alquiler espectacular casa con piscina en bellater,Bellaterra,,"Casa a Bellaterra unifamiliar de 308 m2 útiles y 536  m2 construidos,sobre un terreno de 1.252 m2.  Las estancias princ...",536,4,4,5,3.160
"Alquiler Piso  en  Centre. Piso de alquiler amueblado, impecable",Sabadell,Centre,"FINCAMPS comercializa el alquiler de un piso  de 63 m² útiles,  muy acogedor y con mucha luz en edificio moderno, El pis...",95,2,2,8,850
Alquiler Ático  en  Centre. Atico en alquiler en centre,Sabadell,Centre,"FINQUES FERRAN comercialitza ÀTIC SEMINOU (2020)  al centre de Sabadell, a 2 cantons de la Rambla. ÀTIC SEMINOU 2 HAB DO...",75,2,2,12,900
Alquiler Piso  Regina-carmeli. Piso de 4 hbas en el centro.,Rubí,Centre,"Piso de 105 m2 en el centro, 4 habitaciones, 3 dobles, baño  y cocina conservados, calefacción, lavadero grande, balcón...",105,4,2,7,800
Alquiler Piso  en  Creu Alta. Â¡al lado del corte inglés y ffcc creu alta!,Sabadell,Creu Alta,"Â¡AL LADO DEL CORTE INGLÉS Y FFCC CREU ALTA!  EXES Sabadell centre ofrece Piso muy acogedor de 60 mÂ², amplio salón-co...",65,2,1,11,775
Alquiler Piso  Marques de comillas. Piso en alquiler,Sabadell,Centre,"FANTASTICA VIVIENDA ESQUINERA CON MUCHA LUZ NATURAL CONSTA DE BALCON DE 20 MTS , 4 HABITACIONES TODAS EXTERIORES  2 BA...",140,4,2,8,1.200
"Alquiler Piso  en  Fontetes. Amueblado, céntrico y reformado",Cerdanyola del Vallès,Fontetes,"Fabuloso piso de 75m2 todo reformado y en perfecto estado, listo para entrar a vivir. Consta de 3 habitaciones exterior...",75,3,1,10,800
Alquiler Piso  Guiera-canaletes. Todo reformado!,Cerdanyola del Vallès,Guiera-Canaletes,*VIVIENDA DE PROTECCION OFICIAL (V. P. O). LOS INQUILINOS DEBEN ESTAR INSCRITOS Y ACEPTADOS EN LA BOLSA DE HABITATGE DE...,90,3,2,8,778
Alquiler Ático  en  Centre - Estació. Piso amplio junto al monasterio,Sant Cugat del Vallès,Centre - Estació,"Amplio y luminoso ático con vistas a Collserola, tan solo a 1 minuto caminando del Monasterio de Sant Cugat.  Se distr...",100,3,2,14,1.450
Alquiler Piso  Centre-peatonal. Piso semi-nuevo.,Rubí,Centre,"Piso semi-nuevo en el centro de Rubí, 40m2, 1 habitación, suelo de gres imitación parket, carpintería interior lacada en...",40,1,1,16,675
Alquiler Ático  en  Les Termes. Atico en alquiler en eixample-sant oleguer,Sabadell,Les Termes,Habitat Gestió 18 comercializa excelente ático muy luminoso en zona muy tranquila a 15 minutos andando del centro de Sab...,124,2,1,7,930
Alquiler Piso  en  Volpelleres. Piso en alquiler en volpelleres - estación fgc,Sant Cugat del Vallès,Volpelleres,"Piso seminuevo disponible a partir del 1 de mayo 2022, sin muebles ni electrodomésticos, vistas a zona comunitaria y pis...",94,3,2,15,1.500
Alquiler Piso  en  Ca n´Oriac. Se alquila piso en ronda collsalarca,Sabadell,Ca n´Oriac,"FINGRACEN, SLU - Alquila piso de 69m2 en Ronda Collsalarca, totalmente amueblado y equipado.    Vivienda muy luminosa...",69,3,1,10,720
Alquiler Ático  en  Centre. Duplex obra nueva con terraza,Sabadell,Centre,"MagnÃ­fico dúplex de diseño en alquiler en el centro de Sabadell, vivienda de 80mÂ² con terraza de 25mÂ² que se distribu...",105,2,2,11,1.200
Alquiler Piso  en  Centre. Piso en alquiler en centre,Sabadell,Centre,"FINQUES FERRAN comercialitza espectacular pis a la mateixa Ronda Zamenhof de Sabadell. Es tracta d'una vivenda amplia...",140,5,2,8,1.200
Alquiler Piso  Carrer dos de maig. Bonito piso amueblado,Sant Cugat del Vallès,Centre - Estació,"Bonito piso Amueblado  en el centro 50m2  , primero sin ascensor, completamente equipado, 1 dormitorio doble, baño con d...",50,1,1,15,750
Alquiler Piso  en  Centre. Piso en alquiler en centre,Sabadell,Centre,"Fincamps alquila este magnifico piso a estrenar, con entrada independiente y dos habitaciones.  Gran salón comedor con s...",80,2,1,11,900
Alquiler Piso  en  Ca n´Aurell,Terrassa,Ca n´Aurell,"Fantàstic àtic de 110m² a Ca’n Aurell. A una zona privilegiada, a 1 minuts dels FGC i Rambla. Ampli menjador de 26m² amb...",110,4,2,8,900
Alquiler Piso  en  Poble. Piso para reformar,Castellar del Vallès,Poble,Nova finques comercializa piso para reformar en la zona semi-centro de CASTELLAR DEL VALLES.    Se trata de un piso di...,54,3,1,15,840
Alquiler Planta baja  Carrer salvador busquets. Piso como nuevo con patio,Terrassa,Vallparadís,"Acogedor y luminoso piso para entrar a vivir, amueblado y cocina equipada con horno, encimera de vitrocerámica, microond...",112,3,2,8,980
Alquiler Masía  Castellbisbal. Alquiler de masia/restaurante,Castellbisbal,,Alquiler de masia/restaurante de 14.000 metros en Castellbisbal REF InmoOlaya le ofrece en alquiler esta Mas...,14.000,8,0,,6.800
Alquiler Piso  en  Gràcia. Amplio piso céntrico en alquiler,Sabadell,Gràcia,"DISPONIBLE A PARTIR DE LA ÚLTIMA SEMANA DEL MES DE MAYO FINGRACEN, SLU - Alquila amplio piso de 4 habitaciones, 3 de ell...",154,4,2,7,1.200
Alquiler Piso  en  Sant Llorenç. Piso en alquiler en sant llorenç - terrassa,Terrassa,Sant Llorenç,"Cuarta planta de obra nueva en alquiler situada en el barrio de Sant Llorenç, en el distrito 6 del municipio de Terrassa...",69,2,1,10,700
Alquiler Piso  en  Sant Llorenç. Piso en alquiler en sant llorenç - terrassa,Terrassa,Sant Llorenç,"Tercera planta de obra nueva en alquiler situada en el barrio de Sant Llorenç, en el distrito 6 del municipio de Terrass...",69,2,1,9,675
Alquiler Piso  en  Gràcia. Piso en alquiler en gràcia,Sabadell,Gràcia,FINCAMPS comercializa en alquiler fantástico piso de 2 habitaciones completamente exterior en la zona de Gracia. Consta...,60,2,1,14,850
"Alquiler Piso  en  Centre-Cordelles. Piso con 3 habitaciones, amueblado y ascensor",Cerdanyola del Vallès,Centre-Cordelles,"Piso de 59 m2 reformado y todo exterior situado en calle principal de Cerdanyola, rodeado de servicios y con excelente c...",59,3,1,12,750
Alquiler Piso  Ayuntamiento. Ayuntamiento,Cerdanyola del Vallès,Centre-Cordelles,"Vivienda en zona Sant Ramon,  reformada. Dispone de 3 habitaciones (1 dobles y 2 individuales), salón comedor de 14m ex...",60,3,1,13,825
Alquiler Piso  en  Merinals. Ione finques ofrece,Sabadell,Merinals,"¡Ésta es la que buscabas!    Vivienda en excelente estado de conservación, pensada para parejas Barcelona, Zona Can Ga...",61,2,1,12,777
Alquiler Piso  en  Centre. Piso en alquiler en centre,Sabadell,Centre,"Fincamps alquila este magnifico piso a estrenar, con entrada independiente, 1 h doble con salida a balcon y 2 h. individ...",65,3,1,12,805
